overall_qual,heating_qc,gr_liv_area,full_bath,kitchen_qual,totrms_abvgrd,fireplaces,fireplace_qu,lot_frontage,lot_area,lot_shape,exter_qual,mas_vnr_stone,mas_vnr_none,mas_vnr_brick,neighborhood,bsmt_qual,total_bsmt_sf,garage_finish,garage_cars,garage_age,sold_years,house_age,remod_years,central_air,logsaleprice
6,4,1479,2,2,6,0,0,87.9,13517,-1,3,0,0,1,2,3,725.0,2,2.0,46.0,-35.0,46.0,17.0,1,11.779128505744886
7,4,2122,2,2,8,1,3,43.0,11492,-1,3,0,0,1,4,4,913.0,2,2.0,25.0,-14.0,26.0,25.0,1,12.301382825334498
5,2,1057,1,2,5,0,0,68.0,7922,0,2,0,1,0,2,3,1057.0,1,1.0,69.0,-58.0,69.0,15.0,1,11.59910316121128
5,3,1444,2,1,7,0,0,73.0,9802,0,2,0,1,0,7,4,384.0,3,2.0,15.0,-5.0,16.0,15.0,1,12.066810578196666
6,2,1445,2,1,6,0,0,82.0,14235,-1,2,0,1,0,4,2,676.0,1,2.0,65.0,-111.0,122.0,29.0,1,11.83862560460953
6,4,1888,2,2,6,1,4,105.0,16492,-1,3,0,1,0,2,3,1517.0,3,2.0,56.0,-45.0,56.0,20.0,1,12.154779351142624
6,3,1072,2,1,5,0,0,35.0,3675,0,2,0,0,1,2,4,547.0,3,2.0,17.0,-1.0,17.0,16.0,1,11.84939770159144
5,1,1188,1,1,6,0,0,77.3,12160,-1,2,0,0,1,2,3,1188.0,2,2.0,63.0,-52.0,63.0,63.0,1,11.863582336583399
5,2,924,1,1,6,0,0,86.3,15783,0,2,0,1,0,2,3,924.0,1,1.0,70.0,-56.0,70.0,70.0,1,11.630708500626612
5,2,2080,1,0,9,2,3,70.0,11606,-1,2,0,0,1,2,4,1040.0,1,2.0,53.0,-38.0,53.0,53.0,1,11.813030057420567
6,2,987,1,1,4,0,0,34.0,3182,0,2,0,0,1,1,3,483.0,1,1.0,51.0,-38.0,51.0,51.0,1,11.355101379776661
7,4,1208,2,2,6,0,0,64.0,7488,-1,3,0,1,0,5,4,1208.0,2,2.0,17.0,-1.0,17.0,17.0,1,12.120514757168527
5,4,2016,1,1,7,1,3,105.0,16737,0,3,0,1,0,4,0,0.0,1,2.0,122.0,-130.0,142.0,15.0,1,11.782952602183288
8,4,1607,2,2,7,0,0,34.0,3182,0,3,0,0,1,6,4,960.0,1,2.0,22.0,-9.0,23.0,22.0,1,12.206072645530174
7,4,1361,2,2,6,0,0,74.0,9627,0,3,0,1,0,5,4,1351.0,2,2.0,15.0,-1.0,15.0,15.0,1,12.170445467887022
5,4,1430,2,2,7,0,0,93.0,10114,0,2,0,1,0,3,5,1430.0,2,2.0,18.0,-7.0,18.0,17.0,1,12.063932878369052
5,1,1344,1,1,7,0,0,34.0,4571,0,2,0,1,0,2,3,624.0,1,3.0,106.0,-93.0,106.0,72.0,0,11.49272275765271
5,2,1121,1,1,5,0,0,80.0,8816,0,2,0,1,0,2,3,1121.0,1,2.0,59.0,-47.0,59.0,59.0,1,11.842229212112828
6,4,1285,1,1,7,1,3,71.0,8197,0,2,0,0,1,2,3,660.0,2,2.0,45.0,-30.0,45.0,45.0,1,11.874090314181814
7,4,1547,2,2,7,0,0,72.0,8640,0,2,0,1,0,6,4,756.0,1,2.0,13.0,-1.0,13.0,13.0,1,12.279323107269766
5,3,894,1,1,5,1,1,105.0,8724,0,2,0,1,0,2,4,894.0,3,2.0,54.0,-40.0,54.0,54.0,1,11.76756768334381
8,4,1659,2,3,5,1,5,40.0,5664,-1,3,0,1,0,10,4,1501.0,3,2.0,22.0,-10.0,22.0,22.0,1,12.535376392672774
8,4,2253,2,3,8,1,4,103.0,12867,-1,3,0,1,0,10,5,1209.0,3,2.0,17.0,-1.0,17.0,16.0,1,12.748783489541202
6,4,1187,2,1,6,0,0,76.0,7980,-1,2,0,1,0,4,4,1168.0,3,2.0,30.0,-19.0,30.0,15.0,1,12.128111104060462
5,2,1056,1,1,5,0,0,100.0,16737,0,2,0,1,0,4,3,1056.0,3,2.0,67.0,-52.0,67.0,67.0,0,11.884489021402711
6,4,1453,2,1,6,1,3,92.0,10573,-1,2,0,0,1,2,3,1453.0,2,2.0,61.0,-49.0,61.0,61.0,1,12.141534124392603
5,4,894,1,1,5,1,4,65.0,8450,0,2,0,1,0,2,3,894.0,1,1.0,49.0,-46.0,57.0,13.0,1,11.83862560460953
5,4,1938,2,2,7,1,4,84.8,11700,-1,2,0,1,0,5,3,942.0,1,1.0,85.0,-71.0,85.0,27.0,1,12.196022309676673
5,1,1991,2,1,9,0,0,75.0,8250,0,2,0,1,0,1,3,957.0,0,0.0,44.0,-112.0,127.0,16.0,0,11.691908120498669
5,4,924,1,1,6,1,1,60.0,8064,0,2,0,1,0,2,3,672.0,1,2.0,19.0,-58.0,73.0,16.0,1,11.719126295554126
8,2,2524,2,2,9,1,4,80.0,9600,0,3,0,1,0,5,4,2524.0,3,2.0,41.0,-29.0,41.0,41.0,1,12.535376392672774
8,1,1517,1,2,7,2,4,77.1,11435,-1,2,0,1,0,5,4,792.0,1,2.0,91.0,-78.0,93.0,72.0,1,12.345834587905333
8,4,1494,1,3,6,1,4,34.0,9549,-1,3,0,1,0,7,4,1494.0,3,2.0,27.0,-12.0,27.0,26.0,1,12.506177237980511
6,2,948,1,1,5,0,0,60.0,10950,0,2,0,1,0,2,3,948.0,1,2.0,70.0,-56.0,70.0,70.0,1,11.736069016284437
8,4,1718,2,2,7,1,4,79.0,10637,0,3,1,0,0,5,5,1705.0,2,3.0,15.0,-3.0,15.0,14.0,1,12.601487417784837
6,1,1142,1,1,5,1,4,80.0,9000,-1,2,0,0,1,2,4,160.0,2,1.0,64.0,-52.0,64.0,64.0,1,11.639558115903595
5,4,1475,2,1,6,1,3,41.0,3182,0,2,0,1,0,1,3,757.0,2,1.0,45.0,-29.0,45.0,45.0,1,11.751942365440728
6,4,1844,2,1,7,1,3,105.0,11751,-1,2,0,0,1,5,4,1844.0,2,2.0,45.0,-33.0,45.0,45.0,1,12.154779351142624
7,1,1242,1,1,6,1,3,80.0,9600,0,2,0,0,1,5,3,1242.0,1,2.0,49.0,-34.0,49.0,49.0,1,12.075394321888057
5,4,990,1,1,5,0,0,60.0,8428,-2,2,0,1,0,5,4,990.0,1,1.0,27.0,-13.0,28.0,28.0,1,11.891361900690473
5,3,1256,1,1,6,0,0,75.0,9937,0,3,0,1,0,2,3,1256.0,3,1.0,57.0,-43.0,57.0,57.0,1,11.901583454762012
